code,language
afr,Afrikaans
als,Alemannic
amh,Amharic
ara,Arabic
asm,Assamese
ava,Avar
aze,Azerbaijani
bel,Belarusian
ben,Bengali
bos,Bosnian
bul,Bulgarian
cat,Catalan
ceb,Cebuano
ces,Czech
dan,Danish
deu,German
ell,Greek
eng,English
epo,Esperanto
est,Estonian
fas,Farsi
fin,Finnish
fra,French
gle,Irish
glg,Galician
guj,Gujarati
heb,Hebrew
hin,Hindi
hrv,Croatian
hun,Hungarian
hye,Armenian
ind,Indonesian
isl,Icelandic
ita,Italian
jpn,Japanese
kan,Kannada
kat,Georgian
kaz,Kazakh
khm,Khmer
kor,Korean
kur,Kurdish
lao,Lao
lav,Latvian
lit,Lithuanian
mal,Malayalam
mar,Marathi
mkd,Macedonian
mlt,Maltese
mon,Mongolian
msa,Malay
mya,Burmese
nep,Nepali
nld,Dutch
nno,Norwegian Nynorsk
nob,Norwegian Bokmål
pan,Punjabi
pol,Polish
por,Portuguese
ron,Romanian
rus,Russian
sin,Sinhala
slk,Slovak
slv,Slovenian
som,Somali
spa,Spanish
sqi,Albanian
srp,Serbian
sun,Sundanese
swa,Swahili
swe,Swedish
tam,Tamil
tel,Telugu
tha,Thai
tur,Turkish
uig,Uyghur
ukr,Ukrainian
urd,Urdu
uzb,Uzbek
vie,Vietnamese
yid,Yiddish
yor,Yoruba
zho,Chinese
zul,Zulu


































































































































































